module,user_id,course_id,teacher_id,group_template_id,level,course_name,enrolled_at,lessons_viewed,content_viewed,content_threshold_status,online_attended_status,solved_homeworks_count,required_homeworks_status,current_control_status,pa_score,pa_passed_status,pa_submitted_at,reflection_status,target_status
1,724946,1030,728618,1196,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-11-05,20,100.0,Да,Да,60,Да,Да,15.0,Да,2025-11-28,,Завершил
1,703758,1029,699869,1067,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-09-19,17,85.13664,Да,Да,60,Да,Да,13.0,Да,2025-12-03,,Завершил
1,703784,1030,720071,1064,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-09-19,16,83.035904,Да,Да,60,Да,Да,15.0,Да,2025-11-29,,Завершил
1,703616,1029,699869,1149,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-09-19,20,98.90338,Да,Нет,60,Да,Да,11.0,Да,2025-12-07,,Завершил
1,729522,1029,730341,1216,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-11-05,18,89.4392,Да,Да,60,Да,Да,10.0,Да,2025-11-30,,Завершил
1,729351,1029,733081,1215,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-11-05,20,99.118355,Да,Да,60,Да,Да,14.0,Да,2025-11-28,,Завершил
1,729369,1029,730341,1216,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-11-05,19,98.55812,Да,Да,60,Да,Да,15.0,Да,2025-11-29,,Завершил
1,701977,1030,700140,1041,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-09-19,0,0.0,Нет,Нет,0,Нет,Не сдавал,,Не сдавал,,,Отчислен
1,728136,1029,699986,1191,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-11-07,0,0.0,Нет,Нет,0,Нет,Не сдавал,,Не сдавал,,,Отчислен
1,705469,1030,702887,1156,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-09-19,0,0.10869565,Нет,Нет,23,Нет,Не сдавал,,Не сдавал,,,Отчислен
1,726166,1030,728618,1195,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-11-05,19,94.76745,Да,Да,60,Да,Да,15.0,Да,2025-11-29,,Завершил
1,731619,1029,730341,1212,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-11-05,17,84.18126,Да,Да,60,Да,Да,14.0,Да,2025-11-29,,Завершил
1,716856,1029,699986,1062,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-10-07,16,82.99616,Да,Да,60,Да,Да,11.0,Да,2025-12-13,,Завершил
1,731960,1029,699986,1191,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-11-07,20,100.0,Да,Нет,60,Да,Да,13.0,Да,2025-12-05,,Завершил
1,704635,1029,718895,1144,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-09-19,8,40.439613,Нет,Да,24,Нет,Не сдавал,,Не сдавал,,,Отчислен
1,729731,1030,731445,1185,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-11-05,0,0.0,Нет,Нет,0,Нет,Не сдавал,,Не сдавал,,,Отчислен
1,729536,1029,730341,1216,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-11-05,17,86.4058,Да,Да,60,Да,Да,14.0,Да,2025-11-29,,Завершил
1,703043,1029,699869,1149,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-09-19,20,100.0,Да,Нет,60,Да,Да,12.0,Да,2025-12-04,,Завершил
1,704730,1030,699970,1123,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-09-19,16,84.29876,Да,Нет,60,Да,Да,13.75,Да,2025-11-30,,Завершил
1,703620,1029,699869,1067,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-09-19,20,99.13194,Да,Да,60,Да,Да,13.33,Да,2025-11-28,,Завершил
1,719448,1030,700140,1166,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-10-13,0,3.4277418,Нет,Нет,60,Да,Да,,Не сдавал,,,Отчислен
1,705115,1030,700089,1070,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-09-19,20,96.93157,Да,Да,60,Да,Да,14.0,Да,2025-11-28,,Завершил
1,703732,1029,699869,1067,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-09-19,20,100.0,Да,Нет,60,Да,Да,15.0,Да,2025-12-04,,Завершил
1,730115,1030,728618,1195,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-11-06,20,98.68358,Да,Да,60,Да,Да,15.0,Да,2025-11-26,,Завершил
1,702331,1029,700015,1071,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-09-19,6,31.196226,Нет,Нет,60,Да,Да,,Не сдавал,,,Отчислен
1,709624,1030,700089,1070,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-09-23,17,90.4,Да,Нет,60,Да,Да,13.0,Да,2025-11-29,,Завершил
1,709648,1029,700015,1071,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-09-23,20,97.33918,Да,Нет,60,Да,Да,14.0,Да,2025-11-29,,Завершил
1,709327,1030,700089,1108,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-10-02,20,99.347824,Да,Да,60,Да,Да,15.0,Да,2025-11-29,,Завершил
1,729210,1029,730341,1212,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-11-05,16,85.70551,Да,Да,60,Да,Да,14.0,Да,2025-11-29,,Завершил
1,701740,1029,699869,1149,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-09-19,20,100.0,Да,Нет,60,Да,Да,13.0,Да,2025-12-05,,Завершил
1,725029,1029,732074,1188,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-11-01,10,53.80433,Нет,Нет,59,Нет,Да,,Не сдавал,,,Отчислен
1,729180,1029,736892,1200,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-11-05,18,89.111115,Да,Да,60,Да,Да,13.0,Да,2025-11-29,,Завершил
1,702913,1029,700015,1071,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-09-19,19,95.34091,Да,Нет,60,Да,Да,14.0,Да,2025-11-29,,Завершил
1,710075,1029,675235,1146,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-09-24,16,89.166664,Да,Да,60,Да,Да,14.0,Да,2025-11-29,,Завершил
1,708379,1029,674580,1127,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-09-22,20,99.888885,Да,Да,60,Да,Да,15.0,Да,2025-11-30,,Завершил
1,707491,1030,702887,1153,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-09-19,18,95.927536,Да,Да,60,Да,Да,13.0,Да,2025-11-30,,Завершил
1,733303,1029,732430,1190,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-11-10,0,7.204772,Нет,Нет,24,Нет,Не сдавал,,Не сдавал,,,Отчислен
1,733303,1029,718537,1190,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-11-10,0,7.204772,Нет,Нет,24,Нет,Не сдавал,,Не сдавал,,,Отчислен
1,707864,1030,702887,1158,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-09-19,20,98.84028,Да,Да,60,Да,Да,14.0,Да,2025-11-28,,Завершил
1,702849,1029,700015,1071,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-09-19,20,99.337944,Да,Да,60,Да,Да,14.0,Да,2025-11-28,,Завершил
1,709643,1029,700015,1071,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-09-23,19,95.18468,Да,Да,60,Да,Да,14.0,Да,2025-11-30,,Завершил
1,706795,1030,700089,1070,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-09-19,20,99.75,Да,Нет,60,Да,Да,15.0,Да,2025-11-29,,Завершил
1,729864,1029,733081,1213,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-11-05,18,90.21981,Да,Нет,60,Да,Да,15.0,Да,2025-11-30,,Завершил
1,706425,1030,702887,1158,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-09-19,20,99.02164,Да,Да,60,Да,Да,14.5,Да,2025-11-29,,Завершил
1,705549,1030,702887,1153,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-09-19,20,99.347824,Да,Да,60,Да,Да,14.5,Да,2025-11-30,,Завершил
1,706959,1030,718537,1056,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-09-19,11,68.392525,Нет,Да,42,Нет,Не сдавал,,Не сдавал,,,Отчислен
1,708584,1029,674580,1141,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-09-22,19,97.55556,Да,Нет,60,Да,Да,14.0,Да,2025-11-30,,Завершил
1,704722,1030,700669,1118,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-09-19,0,0.0,Нет,Нет,0,Нет,Не сдавал,,Не сдавал,,,Отчислен
1,704489,1030,700140,1041,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-09-19,0,0.0,Нет,Нет,0,Нет,Не сдавал,,Не сдавал,,,Отчислен
1,703294,1029,700669,1106,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-09-19,0,0.0,Нет,Нет,0,Нет,Не сдавал,,Не сдавал,,,Отчислен
1,717576,1030,730254,1170,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-10-08,0,0.0,Нет,Нет,0,Нет,Не сдавал,,Не сдавал,,,Отчислен
1,728664,1029,732430,1190,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-11-01,2,10.113636,Нет,Нет,6,Нет,Да,,Не сдавал,,,Отчислен
1,728664,1029,718537,1190,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-11-01,2,10.113636,Нет,Нет,6,Нет,Да,,Не сдавал,,,Отчислен
1,725270,1029,732074,1188,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-11-05,0,0.0,Нет,Нет,0,Нет,Не сдавал,,Не сдавал,,,Отчислен
1,700449,1029,700313,1147,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-09-19,17,90.644196,Да,Да,60,Да,Да,15.0,Да,2025-12-01,,Завершил
1,700449,1029,727409,1147,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-09-19,17,90.644196,Да,Да,60,Да,Да,15.0,Да,2025-12-01,,Завершил
1,700449,1029,699986,1147,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-09-19,17,90.644196,Да,Да,60,Да,Да,15.0,Да,2025-12-01,,Завершил
1,704990,1029,727409,1152,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-09-19,1,5.0,Нет,Да,1,Нет,Не сдавал,,Не сдавал,,,Отчислен
1,704990,1029,731445,1152,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-09-19,1,5.0,Нет,Да,1,Нет,Не сдавал,,Не сдавал,,,Отчислен
1,731610,1029,700313,1192,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-11-07,0,0.0,Нет,Нет,0,Нет,Не сдавал,,Не сдавал,,,Отчислен
1,716236,1029,718537,1060,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-10-06,18,94.70167,Да,Да,60,Да,Да,15.0,Да,2025-12-06,,Завершил
1,714059,1030,699912,1109,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-10-01,19,97.78314,Да,Да,60,Да,Да,11.25,Да,2025-11-29,,Завершил
1,711999,1029,699911,1119,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-10-02,20,97.29444,Да,Да,60,Да,Да,12.33,Да,2025-11-26,,Завершил
1,713596,1030,699912,1115,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-10-14,20,97.99945,Да,Да,60,Да,Да,13.5,Да,2025-11-27,,Завершил
1,702635,1030,699911,1120,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-09-19,20,97.80347,Да,Да,60,Да,Да,14.0,Да,2025-11-27,,Завершил
1,702892,1030,699907,1122,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-09-19,20,92.15746,Да,Да,60,Да,Да,13.75,Да,2025-11-29,,Завершил
1,703085,1030,699911,1120,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-09-19,20,98.55259,Да,Да,60,Да,Да,14.0,Да,2025-11-30,,Завершил
1,708061,1030,699912,1109,Базовый,Python. Базовый уровень. Онлайн. 1 модуль,2025-09-19,18,89.09509,Да,Да,60,Да,Да,12.0,Да,2025-11-29,,Завершил
1,701986,1029,700140,1061,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-09-19,0,0.11111111,Нет,Нет,0,Нет,Не сдавал,,Не сдавал,,,Отчислен
1,716004,1029,718537,1060,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-10-06,8,40.245266,Нет,Нет,13,Нет,Не сдавал,,Не сдавал,,,Отчислен
1,728160,1029,700313,1193,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-11-01,0,0.0,Нет,Нет,0,Нет,Не сдавал,,Не сдавал,,,Отчислен
1,701021,1029,700313,1147,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-09-19,18,96.01768,Да,Да,60,Да,Да,15.0,Да,2025-11-30,,Завершил
1,701021,1029,727409,1147,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-09-19,18,96.01768,Да,Да,60,Да,Да,15.0,Да,2025-11-30,,Завершил
1,701021,1029,699986,1147,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-09-19,18,96.01768,Да,Да,60,Да,Да,15.0,Да,2025-11-30,,Завершил
1,700083,1029,732430,1190,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-09-19,0,0.0,Нет,Нет,0,Нет,Не сдавал,,Не сдавал,,,Отчислен
1,700083,1029,718537,1190,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-09-19,0,0.0,Нет,Нет,0,Нет,Не сдавал,,Не сдавал,,,Отчислен
1,700962,1029,699986,1191,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-09-19,20,99.57216,Да,Да,60,Да,Да,15.0,Да,2025-11-29,,Завершил
1,701639,1029,727409,1152,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-09-19,15,84.09899,Да,Да,60,Да,Да,11.0,Да,2025-11-30,,Завершил
1,701639,1029,731445,1152,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-09-19,15,84.09899,Да,Да,60,Да,Да,11.0,Да,2025-11-30,,Завершил
1,700099,1029,699986,1191,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-09-19,0,1.0869565,Нет,Нет,0,Нет,Не сдавал,,Не сдавал,,,Отчислен
1,700977,1029,699986,1191,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-09-19,0,0.0,Нет,Нет,0,Нет,Не сдавал,,Не сдавал,,,Отчислен
1,702658,1029,727409,1152,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-09-19,16,84.53662,Да,Да,60,Да,Да,12.33,Да,2025-11-30,,Завершил
1,702658,1029,731445,1152,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-09-19,16,84.53662,Да,Да,60,Да,Да,12.33,Да,2025-11-30,,Завершил
1,700678,1029,700313,1147,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-09-19,0,0.0,Нет,Нет,0,Нет,Не сдавал,,Не сдавал,,,Отчислен
1,700678,1029,727409,1147,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-09-19,0,0.0,Нет,Нет,0,Нет,Не сдавал,,Не сдавал,,,Отчислен
1,700678,1029,699986,1147,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-09-19,0,0.0,Нет,Нет,0,Нет,Не сдавал,,Не сдавал,,,Отчислен
1,701091,1029,700313,1147,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-09-19,20,97.46727,Да,Да,60,Да,Да,15.0,Да,2025-11-30,,Завершил
1,701091,1029,727409,1147,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-09-19,20,97.46727,Да,Да,60,Да,Да,15.0,Да,2025-11-30,,Завершил
1,701091,1029,699986,1147,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-09-19,20,97.46727,Да,Да,60,Да,Да,15.0,Да,2025-11-30,,Завершил
1,704101,1029,701348,1126,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-09-19,19,95.74468,Да,Нет,60,Да,Да,13.0,Да,2025-12-01,,Завершил
1,701043,1029,700057,1073,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-09-19,20,99.680855,Да,Да,60,Да,Да,13.0,Да,2025-11-25,,Завершил
1,701633,1029,732074,1188,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-10-13,16,83.752525,Да,Да,60,Да,Да,13.75,Да,2025-11-30,,Завершил
1,700625,1029,732430,1190,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-11-07,9,57.396935,Нет,Нет,42,Нет,Да,,Не сдавал,,,Отчислен
1,700625,1029,718537,1190,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-11-07,9,57.396935,Нет,Нет,42,Нет,Да,,Не сдавал,,,Отчислен
1,700632,1029,700057,1098,Начальный,Python. Начальный уровень. Онлайн. 1 модуль,2025-09-19,20,96.99407,Да,Да,60,Да,Да,14.0,Да,2025-11-26,,Завершил
