,module,user_id,club_name,teacher_id,course_id,cohort_id,level_bin,enrollment_date,lessons_watched_total,lessons_watched_80_count,content_units_watched,view_criterion,webinar_attended,solved_hw_count,required_hw_done,current_control_passed,reflection_passed,pa_score,pa_passed,pa_date_msk,ia_passed,status_actual,feature_webinar_attended,feature_view_criterion,feature_required_hw_done,feature_current_control_passed,feature_reflection_passed,feature_reflection_available,feature_pa_score_ge_8,feature_pa_passed,status_by_doc_heuristic,status_by_best_heuristic
44,1,729027.0,Python. Начальный уровень. Онлайн. 1 модуль,730341.0,1029.0,1212.0,0,2025-11-05,18,,91.20176791037106,1,1,60,1,1,,13.0,1,2025-11-29,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
45,1,715531.0,Python. Базовый уровень. Онлайн. 1 модуль,666876.0,1030.0,1054.0,1,2025-10-06,20,,99.34782608695652,1,0,60,1,1,,12.5,1,2025-11-30,,Завершил,0,1,1,1,0,0,1,1,Dropped,Completed
46,1,726689.0,Python. Базовый уровень. Онлайн. 1 модуль,728618.0,1030.0,1196.0,1,2025-11-05,20,,97.0701581027668,1,1,60,1,1,,15.0,1,2025-11-29,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
47,1,715831.0,Python. Начальный уровень. Онлайн. 1 модуль,700140.0,1029.0,1061.0,0,2025-10-06,2,,10.99055074332595,0,0,0,0,1,,,0,,,Отчислен,0,0,0,1,0,0,0,0,Dropped,Dropped
48,1,726495.0,Python. Базовый уровень. Онлайн. 1 модуль,728618.0,1030.0,1196.0,1,2025-11-05,20,,99.77272727272728,1,1,60,1,1,,15.0,1,2025-11-29,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
49,1,704183.0,Python. Базовый уровень. Онлайн. 1 модуль,720071.0,1030.0,1064.0,1,2025-09-19,19,,93.34858041632562,1,1,60,1,1,,13.5,1,2025-12-03,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
50,1,703335.0,Python. Базовый уровень. Онлайн. 1 модуль,700669.0,1030.0,1118.0,1,2025-09-19,13,,81.3032070089961,1,0,60,1,1,,14.0,1,2025-12-05,,Завершил,0,1,1,1,0,0,1,1,Dropped,Completed
51,1,728047.0,Python. Начальный уровень. Онлайн. 1 модуль,730341.0,1029.0,1212.0,0,2025-11-05,20,,98.7095282146161,1,1,60,1,1,,13.5,1,2025-11-29,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
52,1,707549.0,Python. Начальный уровень. Онлайн. 1 модуль,702887.0,1029.0,1161.0,0,2025-09-19,19,,97.07016613644396,1,1,60,1,1,,15.0,1,2025-11-29,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
53,1,738228.0,Python. Начальный уровень. Онлайн. 1 модуль,733081.0,1029.0,1213.0,0,2025-11-05,0,,5.900966183574879,0,0,21,0,0,,,0,,,Отчислен,0,0,0,0,0,0,0,0,Dropped,Dropped
54,1,724946.0,Python. Базовый уровень. Онлайн. 1 модуль,728618.0,1030.0,1196.0,1,2025-11-05,20,,100.0,1,1,60,1,1,,15.0,1,2025-11-28,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
55,1,703758.0,Python. Начальный уровень. Онлайн. 1 модуль,699869.0,1029.0,1067.0,0,2025-09-19,17,,85.13664596273291,1,1,60,1,1,,13.0,1,2025-12-03,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
56,1,703784.0,Python. Базовый уровень. Онлайн. 1 модуль,720071.0,1030.0,1064.0,1,2025-09-19,16,,83.03590250329381,1,1,60,1,1,,15.0,1,2025-11-29,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
57,1,703616.0,Python. Начальный уровень. Онлайн. 1 модуль,699869.0,1029.0,1149.0,0,2025-09-19,20,,98.90338164251207,1,0,60,1,1,,11.0,1,2025-12-07,,Завершил,0,1,1,1,0,0,1,1,Dropped,Completed
58,1,729522.0,Python. Начальный уровень. Онлайн. 1 модуль,730341.0,1029.0,1216.0,0,2025-11-05,18,,89.43920238462329,1,1,60,1,1,,10.0,1,2025-11-30,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
59,1,729351.0,Python. Начальный уровень. Онлайн. 1 модуль,733081.0,1029.0,1215.0,0,2025-11-05,20,,99.11835748792272,1,1,60,1,1,,14.0,1,2025-11-28,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
60,1,729369.0,Python. Начальный уровень. Онлайн. 1 модуль,730341.0,1029.0,1216.0,0,2025-11-05,19,,98.5581188997338,1,1,60,1,1,,15.0,1,2025-11-29,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
61,1,701977.0,Python. Базовый уровень. Онлайн. 1 модуль,700140.0,1030.0,1041.0,1,2025-09-19,0,,0.0,0,0,0,0,0,,,0,,,Отчислен,0,0,0,0,0,0,0,0,Dropped,Dropped
62,1,728136.0,Python. Начальный уровень. Онлайн. 1 модуль,699986.0,1029.0,1191.0,0,2025-11-07,0,,0.0,0,0,0,0,0,,,0,,,Отчислен,0,0,0,0,0,0,0,0,Dropped,Dropped
63,1,705469.0,Python. Базовый уровень. Онлайн. 1 модуль,702887.0,1030.0,1156.0,1,2025-09-19,0,,0.108695652173913,0,0,23,0,0,,,0,,,Отчислен,0,0,0,0,0,0,0,0,Dropped,Dropped
64,1,726166.0,Python. Базовый уровень. Онлайн. 1 модуль,728618.0,1030.0,1195.0,1,2025-11-05,19,,94.76744952048288,1,1,60,1,1,,15.0,1,2025-11-29,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
65,1,731619.0,Python. Начальный уровень. Онлайн. 1 модуль,730341.0,1029.0,1212.0,0,2025-11-05,17,,84.18125801045056,1,1,60,1,1,,14.0,1,2025-11-29,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
66,1,716856.0,Python. Начальный уровень. Онлайн. 1 модуль,699986.0,1029.0,1062.0,0,2025-10-07,16,,82.99616481652791,1,1,60,1,1,,11.0,1,2025-12-13,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
67,1,731960.0,Python. Начальный уровень. Онлайн. 1 модуль,699986.0,1029.0,1191.0,0,2025-11-07,20,,100.0,1,0,60,1,1,,13.0,1,2025-12-05,,Завершил,0,1,1,1,0,0,1,1,Dropped,Completed
68,1,704635.0,Python. Начальный уровень. Онлайн. 1 модуль,718895.0,1029.0,1144.0,0,2025-09-19,8,,40.43961352657005,0,1,24,0,0,,,0,,,Отчислен,1,0,0,0,0,0,0,0,Dropped,Dropped
69,1,729731.0,Python. Базовый уровень. Онлайн. 1 модуль,731445.0,1030.0,1185.0,1,2025-11-05,0,,0.0,0,0,0,0,0,,,0,,,Отчислен,0,0,0,0,0,0,0,0,Dropped,Dropped
70,1,729536.0,Python. Начальный уровень. Онлайн. 1 модуль,730341.0,1029.0,1216.0,0,2025-11-05,17,,86.40579710144928,1,1,60,1,1,,14.0,1,2025-11-29,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
71,1,703043.0,Python. Начальный уровень. Онлайн. 1 модуль,699869.0,1029.0,1149.0,0,2025-09-19,20,,100.0,1,0,60,1,1,,12.0,1,2025-12-04,,Завершил,0,1,1,1,0,0,1,1,Dropped,Completed
72,1,704730.0,Python. Базовый уровень. Онлайн. 1 модуль,699970.0,1030.0,1123.0,1,2025-09-19,16,,84.298759528806,1,0,60,1,1,,13.75,1,2025-11-30,,Завершил,0,1,1,1,0,0,1,1,Dropped,Completed
73,1,703620.0,Python. Начальный уровень. Онлайн. 1 модуль,699869.0,1029.0,1067.0,0,2025-09-19,20,,99.13194444444444,1,1,60,1,1,,13.33,1,2025-11-28,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
74,1,719448.0,Python. Базовый уровень. Онлайн. 1 модуль,700140.0,1030.0,1166.0,1,2025-10-13,0,,3.4277418028574367,0,0,60,1,1,,,0,,,Отчислен,0,0,1,1,0,0,0,0,Dropped,Dropped
75,1,705115.0,Python. Базовый уровень. Онлайн. 1 модуль,700089.0,1030.0,1070.0,1,2025-09-19,20,,96.9315722665878,1,1,60,1,1,,14.0,1,2025-11-28,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
76,1,703732.0,Python. Начальный уровень. Онлайн. 1 модуль,699869.0,1029.0,1067.0,0,2025-09-19,20,,100.0,1,0,60,1,1,,15.0,1,2025-12-04,,Завершил,0,1,1,1,0,0,1,1,Dropped,Completed
77,1,730115.0,Python. Базовый уровень. Онлайн. 1 модуль,728618.0,1030.0,1195.0,1,2025-11-06,20,,98.68357487922704,1,1,60,1,1,,15.0,1,2025-11-26,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
78,1,702331.0,Python. Начальный уровень. Онлайн. 1 модуль,700015.0,1029.0,1071.0,0,2025-09-19,6,,31.196226037913167,0,0,60,1,1,,,0,,,Отчислен,0,0,1,1,0,0,0,0,Dropped,Dropped
79,1,709624.0,Python. Базовый уровень. Онлайн. 1 модуль,700089.0,1030.0,1070.0,1,2025-09-23,17,,90.4,1,0,60,1,1,,13.0,1,2025-11-29,,Завершил,0,1,1,1,0,0,1,1,Dropped,Completed
80,1,709648.0,Python. Начальный уровень. Онлайн. 1 модуль,700015.0,1029.0,1071.0,0,2025-09-23,20,,97.3391834671572,1,0,60,1,1,,14.0,1,2025-11-29,,Завершил,0,1,1,1,0,0,1,1,Dropped,Completed
81,1,709327.0,Python. Базовый уровень. Онлайн. 1 модуль,700089.0,1030.0,1108.0,1,2025-10-02,20,,99.34782608695652,1,1,60,1,1,,15.0,1,2025-11-29,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
82,1,729210.0,Python. Начальный уровень. Онлайн. 1 модуль,730341.0,1029.0,1212.0,0,2025-11-05,16,,85.70551118998324,1,1,60,1,1,,14.0,1,2025-11-29,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
83,1,701740.0,Python. Начальный уровень. Онлайн. 1 модуль,699869.0,1029.0,1149.0,0,2025-09-19,20,,100.0,1,0,60,1,1,,13.0,1,2025-12-05,,Завершил,0,1,1,1,0,0,1,1,Dropped,Completed
84,1,725029.0,Python. Начальный уровень. Онлайн. 1 модуль,732074.0,1029.0,1188.0,0,2025-11-01,10,,53.804327054327054,0,0,59,0,1,,,0,,,Отчислен,0,0,0,1,0,0,0,0,Dropped,Dropped
85,1,729180.0,Python. Начальный уровень. Онлайн. 1 модуль,736892.0,1029.0,1200.0,0,2025-11-05,18,,89.11111111111111,1,1,60,1,1,,13.0,1,2025-11-29,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
86,1,702913.0,Python. Начальный уровень. Онлайн. 1 модуль,700015.0,1029.0,1071.0,0,2025-09-19,19,,95.3409090909091,1,0,60,1,1,,14.0,1,2025-11-29,,Завершил,0,1,1,1,0,0,1,1,Dropped,Completed
87,1,710075.0,Python. Начальный уровень. Онлайн. 1 модуль,675235.0,1029.0,1146.0,0,2025-09-24,16,,89.16666666666667,1,1,60,1,1,,14.0,1,2025-11-29,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
88,1,708379.0,Python. Начальный уровень. Онлайн. 1 модуль,674580.0,1029.0,1127.0,0,2025-09-22,20,,99.88888888888889,1,1,60,1,1,,15.0,1,2025-11-30,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
89,1,707491.0,Python. Базовый уровень. Онлайн. 1 модуль,702887.0,1030.0,1153.0,1,2025-09-19,18,,95.92753623188406,1,1,60,1,1,,13.0,1,2025-11-30,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
90,1,733303.0,Python. Начальный уровень. Онлайн. 1 модуль,732430.0,1029.0,1190.0,0,2025-11-10,0,,7.204771972213833,0,0,24,0,0,,,0,,,Отчислен,0,0,0,0,0,0,0,0,Dropped,Dropped
91,1,707864.0,Python. Базовый уровень. Онлайн. 1 модуль,702887.0,1030.0,1158.0,1,2025-09-19,20,,98.84027777777776,1,1,60,1,1,,14.0,1,2025-11-28,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
92,1,702849.0,Python. Начальный уровень. Онлайн. 1 модуль,700015.0,1029.0,1071.0,0,2025-09-19,20,,99.33794466403162,1,1,60,1,1,,14.0,1,2025-11-28,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
93,1,709643.0,Python. Начальный уровень. Онлайн. 1 модуль,700015.0,1029.0,1071.0,0,2025-09-23,19,,95.18467852257182,1,1,60,1,1,,14.0,1,2025-11-30,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
94,1,706795.0,Python. Базовый уровень. Онлайн. 1 модуль,700089.0,1030.0,1070.0,1,2025-09-19,20,,99.75,1,0,60,1,1,,15.0,1,2025-11-29,,Завершил,0,1,1,1,0,0,1,1,Dropped,Completed
95,1,729864.0,Python. Начальный уровень. Онлайн. 1 модуль,733081.0,1029.0,1213.0,0,2025-11-05,18,,90.21980676328502,1,0,60,1,1,,15.0,1,2025-11-30,,Завершил,0,1,1,1,0,0,1,1,Dropped,Completed
96,1,706425.0,Python. Базовый уровень. Онлайн. 1 модуль,702887.0,1030.0,1158.0,1,2025-09-19,20,,99.02163634494808,1,1,60,1,1,,14.5,1,2025-11-29,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
97,1,705549.0,Python. Базовый уровень. Онлайн. 1 модуль,702887.0,1030.0,1153.0,1,2025-09-19,20,,99.34782608695652,1,1,60,1,1,,14.5,1,2025-11-30,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
98,1,706959.0,Python. Базовый уровень. Онлайн. 1 модуль,718537.0,1030.0,1056.0,1,2025-09-19,11,,68.39252676093564,0,1,42,0,0,,,0,,,Отчислен,1,0,0,0,0,0,0,0,Dropped,Dropped
99,1,708584.0,Python. Начальный уровень. Онлайн. 1 модуль,674580.0,1029.0,1141.0,0,2025-09-22,19,,97.55555555555556,1,0,60,1,1,,14.0,1,2025-11-30,,Завершил,0,1,1,1,0,0,1,1,Dropped,Completed
100,1,704722.0,Python. Базовый уровень. Онлайн. 1 модуль,700669.0,1030.0,1118.0,1,2025-09-19,0,,0.0,0,0,0,0,0,,,0,,,Отчислен,0,0,0,0,0,0,0,0,Dropped,Dropped
101,1,704489.0,Python. Базовый уровень. Онлайн. 1 модуль,700140.0,1030.0,1041.0,1,2025-09-19,0,,0.0,0,0,0,0,0,,,0,,,Отчислен,0,0,0,0,0,0,0,0,Dropped,Dropped
102,1,703294.0,Python. Начальный уровень. Онлайн. 1 модуль,700669.0,1029.0,1106.0,0,2025-09-19,0,,0.0,0,0,0,0,0,,,0,,,Отчислен,0,0,0,0,0,0,0,0,Dropped,Dropped
103,1,717576.0,Python. Базовый уровень. Онлайн. 1 модуль,730254.0,1030.0,1170.0,1,2025-10-08,0,,0.0,0,0,0,0,0,,,0,,,Отчислен,0,0,0,0,0,0,0,0,Dropped,Dropped
104,1,728664.0,Python. Начальный уровень. Онлайн. 1 модуль,732430.0,1029.0,1190.0,0,2025-11-01,2,,10.113636363636363,0,0,6,0,1,,,0,,,Отчислен,0,0,0,1,0,0,0,0,Dropped,Dropped
105,1,725270.0,Python. Начальный уровень. Онлайн. 1 модуль,732074.0,1029.0,1188.0,0,2025-11-05,0,,0.0,0,0,0,0,0,,,0,,,Отчислен,0,0,0,0,0,0,0,0,Dropped,Dropped
106,1,700449.0,Python. Начальный уровень. Онлайн. 1 модуль,700313.0,1029.0,1147.0,0,2025-09-19,17,,90.64419243037663,1,1,60,1,1,,15.0,1,2025-12-01,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
107,1,704990.0,Python. Начальный уровень. Онлайн. 1 модуль,727409.0,1029.0,1152.0,0,2025-09-19,1,,5.0,0,1,1,0,0,,,0,,,Отчислен,1,0,0,0,0,0,0,0,Dropped,Dropped
108,1,731610.0,Python. Начальный уровень. Онлайн. 1 модуль,700313.0,1029.0,1192.0,0,2025-11-07,0,,0.0,0,0,0,0,0,,,0,,,Отчислен,0,0,0,0,0,0,0,0,Dropped,Dropped
109,1,716236.0,Python. Начальный уровень. Онлайн. 1 модуль,718537.0,1029.0,1060.0,0,2025-10-06,18,,94.70166512488436,1,1,60,1,1,,15.0,1,2025-12-06,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
110,1,714059.0,Python. Базовый уровень. Онлайн. 1 модуль,699912.0,1030.0,1109.0,1,2025-10-01,19,,97.78314378480349,1,1,60,1,1,,11.25,1,2025-11-29,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
111,1,711999.0,Python. Начальный уровень. Онлайн. 1 модуль,699911.0,1029.0,1119.0,0,2025-10-02,20,,97.29443751011256,1,1,60,1,1,,12.33,1,2025-11-26,,Завершил,1,1,1,1,0,0,1,1,Completed,Completed
